CNPJ_Fundo;Data_Referencia;Versao;Data_Informacao_Numero_Cotistas;Total_Numero_Cotistas;Numero_Cotistas_Pessoa_Fisica;Numero_Cotistas_Pessoa_Juridica_Nao_Financeira;Numero_Cotistas_Banco_Comercial;Numero_Cotistas_Corretora_Distribuidora;Numero_Cotistas_Outras_Pessoas_Juridicas_Financeira;Numero_Cotistas_Investidores_Nao_Residentes;Numero_Cotistas_Entidade_Aberta_Previdencia_Complementar;Numero_Cotistas_Entidade_Fechada_Previdência_Complementar;Numero_Cotistas_Regime_Proprio_Previdencia_Servidores_Publicos;Numero_Cotistas_Sociedade_Seguradora_Resseguradora;Numero_Cotistas_Sociedade_Capitalizacao_Arrendamento_Mercantil;Numero_Cotistas_FII;Numero_Cotistas_Outros_Fundos;Numero_Cotistas_Distribuidores_Fundo;Numero_Cotistas_Outros_Tipos;Valor_Ativo;Patrimonio_Liquido;Cotas_Emitidas;Valor_Patrimonial_Cotas;Percentual_Despesas_Taxa_Administracao;Percentual_Despesas_Agente_Custodiante;Percentual_Rentabilidade_Efetiva_Mes;Percentual_Rentabilidade_Patrimonial_Mes;Percentual_Dividend_Yield_Mes;Percentual_Amortizacao_Cotas_Mes
04.782.236/0001-88;2022-02-01;1;2022-02-25;2;;;;;;;;;;;;;;;;675823629.84;652310160.67;3575484;182.439681080939;0.000241;0;0.00651;0.000478;0.006032;
04.782.236/0001-88;2022-03-01;1;2022-03-31;2;;1;;;;1;;;;;;;;;;675955201.26;652585043.14;3575484;182.516560873996;0.000244;0;0.006725;0.000422;0.006303;
04.782.236/0001-88;2022-04-01;1;2022-04-29;2;;;;;;;;;;;;;;;;675703638;652452811.29;3575484;182.479577950845;0.000246;0;0.005824;-0.000203;0.006027;
04.782.236/0001-88;2022-05-01;1;2022-05-31;2;;;;;;;;;;;;;;;;675787547.14;653063562.21;3575484;182.650394243129;0.000251;0;0.006964;0.000936;0.006028;
04.782.236/0001-88;2022-06-01;1;2022-06-30;2;;1;;;;1;;;;;;;;;;676056133.24;653188726.1;3575484;182.685400382158;0.00025;0;0.006762;0.000192;0.00657;
04.782.236/0001-88;2022-07-01;1;2022-07-31;2;;;;;;;;;;;;;;;;675876576.05;653559773.42;3575484;182.789175792704;0.000258;0;0.006699;0.000568;0.006131;
04.782.236/0001-88;2022-08-01;1;2022-08-31;2;;;;;;;;;;;;;;;;684203818.43;662111676.11;3655484;181.128320110278;0.000258;0;-0.002959;-0.009086;0.006127;
05.437.916/0001-27;2022-01-01;1;2022-01-31;2590;;;;;;;;;;;;;;;;122296998.03;119869423.17;383936;312.211991503792;0.000385;0;0.005808;0.000297;0.005511;
05.437.916/0001-27;2022-02-01;1;2022-02-25;2625;;;;;;;;;;;;;;;;122368778.59;119908139.2;383936;312.312831305218;0.000385;0;0.006024;0.000323;0.005701;
05.437.916/0001-27;2022-03-01;1;2022-03-31;2619;2607;12;;;;;;;;;;;;;;122441807.04;119998505.98;383936;312.548200689698;0.000385;0;0.006453;0.000754;0.005699;
